id,username,passwordHash,salt,nickname,level,rank,winCount,matchCount,teamId,heroPool
d6ff4e2c-6de9-46ab-837d-53b43649a467,menglei,0929b8614bc621175f0c97078648588e29c60c92aae7dd4e35f71286dcd68b4c,df226c13-f830-48,梦泪,30,LEGEND,680,1200,efa5800a-82ae-477a-b413-b1857d78c43e,3ff64455-d182-4fcc-b677-ec018cca7abb;c6fc98ba-9a5f-4ac4-8519-24513dd0e5ca;2b7b323c-441c-4046-892e-46280fe0f8c1;fc83f13d-a8f3-4f0e-9103-27b565d6c4cf
6fff5a00-20da-42ec-80e7-290ba7c09ae5,feiniu,fa123d3f303a89cf96820bdfbc90124c1178a7eaa51d468d5e55d55ec844f0f1,c7cc20ac-5e7a-49,飞牛,28,GRANDMASTER,630,1100,50c9dac0-687b-4025-b1a6-5efc7012f058,1adbb92f-5cf9-461a-9d47-3c24b0ca41ac;7545bd67-3373-4597-abd7-22671420586d;fc83f13d-a8f3-4f0e-9103-27b565d6c4cf;0c6c55d9-1963-464b-8678-1607af1503a0
6472f4d3-4bb0-4201-b390-05de8bf74a66,maoshen,1e4db93e0bd74acefc9a2acaf8e83d9c1c6296b33d2fbff300d6ae8613b1a498,caf6bf26-88a0-44,猫神,27,GRANDMASTER,580,1050,cd58412a-6db8-4ceb-80f8-fe1872722198,3fc54e18-a306-4ae3-bf1d-1291b264b01e;e1e6d97c-378e-4b4c-b4b8-2acf3dd94f26;728ff963-1b7b-4621-8ec3-666025ee42a8;25fe5fc9-97f9-4c58-a8ef-49ef7ee1c3c5
ff9d75ed-4f63-46c6-b3f9-2da34ed01136,jiucheng,2f555719f7035ae77bc57ca0c7d04b6aeed08732bed04d40b4b7e45dd049cd10,cb43971f-0e90-4f,久诚,24,MASTER,510,950,efa5800a-82ae-477a-b413-b1857d78c43e,728ff963-1b7b-4621-8ec3-666025ee42a8;260f1fa0-fcad-4d2d-8f06-cc79aac9bb07;28b9976c-666a-4a9a-8be7-480e7926172f
88a43873-023f-4b92-b043-407c830cc0c4,nuanyang,62d324ba2246d3c03863d9218b11aea342adfe736fb30e372b7158dc6bfe4c5c,f74801c4-d81e-4f,暖阳,25,MASTER,480,900,50c9dac0-687b-4025-b1a6-5efc7012f058,c6fc98ba-9a5f-4ac4-8519-24513dd0e5ca;3ff64455-d182-4fcc-b677-ec018cca7abb;1adbb92f-5cf9-461a-9d47-3c24b0ca41ac
0bc9e53a-3a8f-45f5-9635-a0968ace9d1d,yinuo,1df87c2204fabd78ffb00deec78b5ee514501b605289b155cb08fd25538fb5f8,c9ebcb56-5ad5-43,一诺,22,DIAMOND,440,800,efa5800a-82ae-477a-b413-b1857d78c43e,28b9976c-666a-4a9a-8be7-480e7926172f;260f1fa0-fcad-4d2d-8f06-cc79aac9bb07;7545bd67-3373-4597-abd7-22671420586d
a4f18ac4-5b09-47f7-b8e6-2d0cfee2243f,qingqing,dade34fae235aea9ad3798b24e648c81a906876b2032aa553f9ed0126153e06e,e50ca6c3-8650-4b,清清,21,DIAMOND,420,750,50c9dac0-687b-4025-b1a6-5efc7012f058,3451be5d-6d13-4f54-ac4f-ce8aedf64dc8;0c6c55d9-1963-464b-8678-1607af1503a0;7545bd67-3373-4597-abd7-22671420586d
ce948502-f41c-491d-a0bf-32a14f48d97e,huahai,fba2e5bfff9fb98d17aeac06fa5dbef65a4b7b85e8d686afc8f0f33466ee962e,d55bda11-052c-45,花海,26,GRANDMASTER,550,1000,cd58412a-6db8-4ceb-80f8-fe1872722198,2b7b323c-441c-4046-892e-46280fe0f8c1;3ff64455-d182-4fcc-b677-ec018cca7abb;28b9976c-666a-4a9a-8be7-480e7926172f;260f1fa0-fcad-4d2d-8f06-cc79aac9bb07
db68838f-7f38-468b-8eab-b1f3a4e4d9ea,wuwei,f09e41dd0e512d1a76056748ed3c6f1d4370250cdeb6a95ad53e3ee72e91df73,d3eadd22-b965-4e,无畏,19,PLATINUM,350,600,50c9dac0-687b-4025-b1a6-5efc7012f058,fc83f13d-a8f3-4f0e-9103-27b565d6c4cf;1adbb92f-5cf9-461a-9d47-3c24b0ca41ac;3451be5d-6d13-4f54-ac4f-ce8aedf64dc8
bb1e7f12-405d-4781-b8d4-f1d55da36a48,tanran,d9fe4264afc4d5228c7a63ee37c293dcf7c6ad3745c3da008e73cdf89cdee053,88bab708-394b-4b,坦然,18,PLATINUM,320,550,cd58412a-6db8-4ceb-80f8-fe1872722198,d6008969-b2b5-4406-9542-be37a4556a36;25fe5fc9-97f9-4c58-a8ef-49ef7ee1c3c5;e1e6d97c-378e-4b4c-b4b8-2acf3dd94f26;728ff963-1b7b-4621-8ec3-666025ee42a8
